,,Overall_acurracy,Macro_acurracy,Iou
image 53,depth4,0.9373779296875,0.3870290613926413,0.35981861156405603
image 53,depth5,0.947723388671875,0.4187130324663369,0.40591526423983076
image 53,depth6,0.9543609619140625,0.7090177184589356,0.44021223338776566
image 53,depth7,0.9605712890625,0.7547618092299864,0.5287929520772116
image 53,depth8,0.94989013671875,0.5919754833085409,0.5108293330258992
image 53,depth9,0.9520111083984375,0.602562614354937,0.5241669337825549
image 53,depth10,0.934814453125,0.6196853047526537,0.4339795487695002
image 53,depth11,0.917694091796875,0.4718159448778736,0.3723933857196559
image 53,depth12,0.9316253662109375,0.5951904813462999,0.3560681743500715
image 53,depth13,0.949920654296875,0.5975843165071942,0.44390004801917854
image 53,depth14,0.9431304931640625,0.9011434821510962,0.37466742627606614
image 53,depth15,0.9488525390625,0.5867754707585975,0.3937148057771984
image 53,depth16,0.947662353515625,0.6078366720583966,0.38823747562027977
image 53,depth17,0.948638916015625,0.5334631099869037,0.421763981855852
image 53,depth18,0.9596099853515625,0.5566358293762249,0.44861870454409436
image 53,depth19,0.9471588134765625,0.3333333333333333,0.3157196044921875
image 53,depth20,0.938873291015625,0.3333333333333333,0.312957763671875
image 54,depth1,0.960205078125,0.3333333333333333,0.320068359375
image 54,depth2,0.960113525390625,0.3333333333333333,0.320037841796875
image 54,depth3,0.9857177734375,0.442676658650418,0.34994402294324717
image 54,depth4,0.9701690673828125,0.4461511889954924,0.41989795677848535
image 54,depth5,0.9759521484375,0.548546804850386,0.5241095525639491
image 54,depth6,0.9750518798828125,0.5594485370827339,0.5461386307327939
image 54,depth7,0.9657745361328125,0.6246447149280784,0.45694249928167024
image 54,depth8,0.96783447265625,0.6237515164640816,0.5102964097430206
image 54,depth9,0.9678497314453125,0.6392252981416636,0.5173649665912933
image 54,depth10,0.931671142578125,0.5377850078756423,0.35990244180289704
image 54,depth11,0.93133544921875,0.5388955919474373,0.36427806061836393
image 54,depth12,0.9389801025390625,0.5745317923470566,0.3888227175800158
image 54,depth13,0.944427490234375,0.5765248729416245,0.39093148192173927
image 54,depth14,0.9701995849609375,0.6174126846787907,0.44654214661232206
image 54,depth15,0.980194091796875,0.6468026036262496,0.5062320005484068
image 54,depth16,0.9849853515625,0.581506160423117,0.5486686542530224
image 54,depth17,0.9812164306640625,0.5483521169551938,0.5136617248825899
image 54,depth18,0.962554931640625,0.415625481708672,0.4021510206978103
image 54,depth19,0.9469757080078125,0.3333333333333333,0.3156585693359375
image 55,depth1,0.9996490478515625,0.3333333333333333,0.3332163492838542
image 55,depth2,0.999176025390625,0.5,0.3330586751302083
image 55,depth3,0.952972412109375,0.939224197632163,0.464811384049844
